α,szMFGS,szMFGS′,occupancy,occupancy′
657.9332246575682,0.7090795430644085,0.7386425692509532,5.402623127471901,6.3098972646716
756.463327554629,0.7090114211270467,0.7112799946986332,5.57853308790574,6.477787963457802
869.7490026177834,0.708955208205622,0.6868358647634815,5.728592379088985,6.613882472900666
1000.0,0.7088921351134404,0.665400714109627,5.857267972187152,6.725580914271051
1149.7569953977356,0.7088167502244356,0.6467723635602444,5.968252102759415,6.81842312393928
1321.9411484660286,0.708728553736217,0.6306340618549754,6.064551408649381,6.896519072288511
1519.9110829529332,0.7086288696574643,0.6166483983644375,6.148598086194935,6.9629277599231685
1747.5284000076829,0.708519616330771,0.6045001748160509,6.222357712963655,7.019947427021661
2009.2330025650479,0.7084028058484918,0.593912174771468,6.287422943788185,7.069325984464104
2310.1297000831605,0.7082803405073228,0.584647876219331,6.34509048182348,7.112410517385506
2656.0877829466867,0.7081539362356076,0.5765085357838421,6.396422464769901,7.15025308710973
3053.8555088334156,0.7080251017593906,0.5693283079634426,6.442294698165979,7.183685944154183
3511.191734215131,0.7078951421736601,0.5629690862897153,6.483434317908242,7.213375471137461
4037.017258596554,0.7077651726918903,0.5573157677748031,6.520449168620959,7.239861298013228
4641.588833612777,0.7076361360284313,0.5522721725575561,6.553850769901066,7.263585004624208
5336.699231206308,0.707508820424148,0.54775763987388,6.584072344103026,7.284911438735041
6135.907273413176,0.7073838769971369,0.5437042363358789,6.611483042554092,7.304144738986398
7054.8023107186455,0.7072618358868819,0.5400544861677861,6.636399238747408,7.321540517188527
8111.308307896872,0.7071431210249183,0.5367595326575928,6.659093549628481,7.337315222715844
9326.0334688322,0.7070280635286131,0.5337776498744081,6.679802088237805,7.3516534160547184
10722.672220103232,0.7069169137827834,0.531073036372048,6.698730331734461,7.364713474063732
12328.467394420659,0.7068098522985118,0.5286148349763903,6.716057898979882,7.376632106644852
14174.741629268048,0.7067069994435005,0.5263763336346329,6.731942464119442,7.3875279636634685
16297.508346206434,0.7066084241359754,0.5243343113886004,6.746522981392804,7.397504538996014
18738.17422860383,0.7065141515888131,0.5224685009097183,6.7599223575472696,7.406652526709559
21544.346900318822,0.7064241701851521,0.5207611449273646,6.772249678605759,7.41505174660489
24770.76355991709,0.7063384375612618,0.5191966285516767,6.783602075042562,7.422772728580981
28480.35868435799,0.7062568859677564,0.5177611731749276,6.794066291932162,7.429878024667209
32745.491628777316,0.7061794269755434,0.5164425805353788,6.803720017088119,7.4364233021346156
37649.35806792471,0.7061059555888309,0.5152300178116886,6.812633009653956,7.442458259441636
43287.612810830615,0.7060363538233364,0.5141138364173308,6.820868063338855,7.448027397894436
49770.23564332114,0.7059704938039747,0.5130854185885294,6.828481831976353,7.453170675092306
57223.676593502205,0.7059082404323108,0.5121370469884204,6.835525539925241,7.45792406096478
65793.32246575682,0.7058494536704056,0.5112617934477894,6.84204559572354,7.46232001310937
75646.3327554629,0.7057939904838582,0.5104534236799505,6.848084124119191,7.466387884927697
86974.90026177834,0.7057417064832358,0.5097063153810926,6.853679428956577,7.47015427752515
100000.0,0.7056924572998402,0.5090153875894041,6.858866397261638,7.473643344329517
