T,szG,sz1DMFGS,sz2DMFGS,sz3DMFGS
152.001,0.022010791931429297,0.11863389072833416,0.16595111953349034,0.20033675658425082
153.001,0.021867115599703668,0.11790880154158237,0.1649702130746696,0.19919364717240973
154.001,0.021725301634111516,0.11719234237941695,0.16400036891883016,0.19806270100737502
155.001,0.021585314079655082,0.11648436340917498,0.1630414097172167,0.19694374029830974
156.001,0.021447117900383422,0.11578471816369418,0.1620931616667748,0.19583659029538222
157.001,0.02131067895023145,0.11509326344996562,0.16115545442950058,0.19474107923953793
158.001,0.021175963944962684,0.11440985926064492,0.16022812105366568,0.19365703831256784
159.001,0.02104294043516558,0.11373436868832384,0.15931099789688108,0.19258430158751966
160.001,0.02091157678025868,0.11306665784246381,0.15840392455096824,0.191522705979498
161.001,0.020781842123459765,0.11240659576890355,0.1575067437686029,0.19047209119688832
162.001,0.020653706367679603,0.11175405437184807,0.15661930139169283,0.18943229969303998
163.001,0.020527140152298007,0.11110890833825615,0.1557414462814611,0.18840317661844427
164.001,0.020402114830787105,0.11047103506454375,0.1548730302501928,0.18738456977342355
165.001,0.020278602449144978,0.10984031458552326,0.1540139079946159,0.18637632956136507
166.001,0.020156575725105402,0.10921662950550354,0.1531639370308785,0.18537830894251867
167.001,0.02003600802809194,0.10859986493147572,0.1523229776310878,0.18439036338837006
168.001,0.019916873359885345,0.10798990840831676,0.15149089276137662,0.18341235083661409
169.001,0.019799146335974377,0.10738664985593885,0.15066754802146612,0.18244413164673626
170.001,0.019682802167563268,0.10678998150832264,0.14985281158568486,0.18148556855621414
171.001,0.019567816644206593,0.1061997978543682,0.1490465541454169,0.18053652663734873
172.001,0.019454166117049476,0.1056159955805051,0.14824864885294275,0.17959687325473375
173.001,0.019341827482645707,0.10503847351500106,0.14745897126664076,0.17866647802336688
174.001,0.019230778167332763,0.1044671325739136,0.14667739929751814,0.17774521276740957
175.001,0.019120996112139937,0.10390187570862988,0.1459038131570388,0.1768329514795955
